Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Battery Config: Capacity=40.0kWh, MinSOC=10.0%, Reserve=10.0%
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Optimization Plan from 2026-04-22 22:15:00+00:00 to 2026-04-24 20:00:00+00:00:
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Interval: 15 minutes
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: GSHP Initial State: 43.7°C, STOPPED
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Time        | Baseload | GSHP kW | Grid kW | Solar | SOC% | P-tile | Intent | Acc Sim
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ------------|----------|---------|---------|-------|------|--------|--------|--------
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 06:00 |      2.9 |     3.4 |     6.0 |  0.37 | 71.6 |  53.8% | START  |  42.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 06:15 |      2.9 |     3.4 |     6.0 |  0.37 | 71.6 |  58.7% | START  |  46.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 06:30 |      2.9 |     3.7 |     0.0 |  1.68 | 68.3 |  63.0% | START  |  50.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 06:45 |      2.9 |     0.0 |     0.0 |  1.68 | 67.5 |  67.4% | STOP   |  49.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 07:00 |      2.9 |     0.0 |     0.0 |  1.68 | 66.7 |  71.7% | STOP   |  48.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 07:15 |      2.9 |     0.0 |     0.0 |  1.68 | 65.9 |  73.9% | STOP   |  47.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 07:30 |      2.9 |     0.0 |     0.0 |  3.83 | 66.4 |  77.2% | STOP   |  46.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 07:45 |      2.9 |     0.0 |     0.0 |  3.83 | 66.9 |  82.6% | STOP   |  44.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 08:00 |      2.9 |     0.0 |     0.0 |  3.83 | 67.5 |  94.6% | STOP   |  43.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 08:15 |      2.9 |     0.0 |     0.0 |  3.83 | 68.0 |  98.9% | STOP   |  42.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 08:30 |      2.9 |     0.0 |     0.0 |  5.75 | 69.7 |  90.2% | STOP   |  41.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 08:45 |      2.9 |     3.4 |     0.0 |  5.75 | 69.3 |  79.3% | START  |  42.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 09:00 |      2.9 |     3.4 |     0.0 |  5.75 | 68.9 |  87.0% | START  |  46.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 09:15 |      2.9 |     3.7 |     0.0 |  5.75 | 68.4 |  76.1% | START  |  50.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 09:30 |      2.9 |     3.8 |     0.0 |  7.33 | 68.7 |  63.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 09:45 |      2.9 |     0.0 |     0.0 |  7.33 | 71.3 |  65.2% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 10:00 |      2.9 |     0.0 |     0.0 |  7.33 | 74.0 |  60.9% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 10:15 |      2.9 |     0.0 |     0.0 |  7.33 | 76.6 |  73.9% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 10:30 |      2.9 |     0.0 |     0.0 |  8.50 | 79.9 |  67.4% | STOP   |  50.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 10:45 |      2.9 |     0.0 |     0.0 |  8.50 | 83.2 |  57.1% | STOP   |  49.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 11:00 |      3.1 |     0.0 |     0.0 |  8.50 | 86.4 |  70.7% | STOP   |  47.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 11:15 |      3.1 |     0.0 |     0.0 |  8.50 | 89.7 |  56.0% | STOP   |  46.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 11:30 |      3.1 |     0.0 |    -4.9 |  8.54 | 90.0 |  43.5% | STOP   |  45.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 11:45 |      3.1 |     0.0 |    -5.5 |  8.54 | 90.0 |  30.4% | STOP   |  44.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 12:00 |      3.1 |     0.0 |    -5.5 |  8.54 | 90.0 |  53.8% | STOP   |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 12:15 |      3.1 |     0.0 |    -5.5 |  8.54 | 90.0 |  43.5% | STOP   |  41.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 12:30 |      3.1 |     3.4 |    -1.6 |  8.08 | 90.0 |  30.4% | START  |  42.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 12:45 |      3.1 |     3.4 |    -1.6 |  8.08 | 90.0 |  30.4% | START  |  46.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 13:00 |      3.2 |     3.7 |    -1.2 |  8.08 | 90.0 |  12.5% | START  |  50.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 13:15 |      3.2 |     3.4 |    -1.5 |  8.08 | 90.0 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 13:30 |      3.2 |     0.0 |    -4.3 |  7.41 | 90.0 |  12.5% | STOP   |  53.8
